group,start,end,years,cagr,total_return,mdd_full,mdd_1y,mdd_3y,mdd_5y,return_1y,return_3y,return_5y,days_to_recover_initial
all_month_ends,2007-06-29,2026-06-17,18.967830253251197,0.11169954732265519,6.452152670779522,-0.10018090045772676,-0.03853819972891548,-0.10018090045772676,-0.10018090045772676,0.13262279389424747,0.41497095846844156,0.6979300059034805,3
stock_basket_ath_month_ends,2007-06-29,2026-06-17,18.967830253251197,0.11169954732265519,6.452152670779522,-0.10018090045772676,-0.03853819972891548,-0.10018090045772676,-0.10018090045772676,0.13262279389424747,0.41497095846844156,0.6979300059034805,3
all_month_ends,2007-07-31,2026-06-17,18.88021902806297,0.11070579019501303,6.259718566313746,-0.10018090045772698,-0.05340746698765242,-0.10018090045772698,-0.10018090045772698,0.08233812519511852,0.35815078524728583,0.6908632611616816,8
strategy_ath_month_ends,2007-07-31,2026-06-17,18.88021902806297,0.11070579019501303,6.259718566313746,-0.10018090045772698,-0.05340746698765242,-0.10018090045772698,-0.10018090045772698,0.08233812519511852,0.35815078524728583,0.6908632611616816,8
stock_basket_ath_month_ends,2007-07-31,2026-06-17,18.88021902806297,0.11070579019501303,6.259718566313746,-0.10018090045772698,-0.05340746698765242,-0.10018090045772698,-0.10018090045772698,0.08233812519511852,0.35815078524728583,0.6908632611616816,8
all_month_ends,2007-08-31,2026-06-17,18.795345653661876,0.11052115538769525,6.172864453150787,-0.10018090045772676,-0.053407466987652086,-0.10018090045772676,-0.10018090045772676,0.11646223541955214,0.3937009478012268,0.6949209837149306,3
strategy_ath_month_ends,2007-08-31,2026-06-17,18.795345653661876,0.11052115538769525,6.172864453150787,-0.10018090045772676,-0.053407466987652086,-0.10018090045772676,-0.10018090045772676,0.11646223541955214,0.3937009478012268,0.6949209837149306,3
all_month_ends,2007-09-28,2026-06-17,18.718685831622178,0.10969527032282,6.0170490799007075,-0.10018090045772665,-0.05340746698765242,-0.10018090045772665,-0.10018090045772665,0.10396584776074058,0.38343562965294176,0.6600164093765302,3
strategy_ath_month_ends,2007-09-28,2026-06-17,18.718685831622178,0.10969527032282,6.0170490799007075,-0.10018090045772665,-0.05340746698765242,-0.10018090045772665,-0.10018090045772665,0.10396584776074058,0.38343562965294176,0.6600164093765302,3
stock_basket_ath_month_ends,2007-09-28,2026-06-17,18.718685831622178,0.10969527032282,6.0170490799007075,-0.10018090045772665,-0.05340746698765242,-0.10018090045772665,-0.10018090045772665,0.10396584776074058,0.38343562965294176,0.6600164093765302,3
all_month_ends,2007-10-31,2026-06-17,18.628336755646817,0.10823057911756928,5.782426236864735,-0.10018090045772643,-0.0993068445630294,-0.10018090045772643,-0.10018090045772643,0.05558854206051178,0.33348818607194697,0.5531469260775586,1
strategy_ath_month_ends,2007-10-31,2026-06-17,18.628336755646817,0.10823057911756928,5.782426236864735,-0.10018090045772643,-0.0993068445630294,-0.10018090045772643,-0.10018090045772643,0.05558854206051178,0.33348818607194697,0.5531469260775586,1
stock_basket_ath_month_ends,2007-10-31,2026-06-17,18.628336755646817,0.10823057911756928,5.782426236864735,-0.10018090045772643,-0.0993068445630294,-0.10018090045772643,-0.10018090045772643,0.05558854206051178,0.33348818607194697,0.5531469260775586,1
all_month_ends,2007-11-30,2026-06-17,18.546201232032853,0.10950340319108998,5.8701277746550895,-0.10018090045772665,-0.10018090045772665,-0.10018090045772665,-0.10018090045772665,0.16337027467262266,0.3802297570296056,0.5701890915480299,3
all_month_ends,2007-12-28,2026-06-17,18.469541409993155,0.10849059835013608,5.701619790903567,-0.10018090045772698,-0.10018090045772698,-0.10018090045772698,-0.10018090045772698,0.15459496745957635,0.35924598815432995,0.5229274005571916,5
strategy_ath_month_ends,2007-12-28,2026-06-17,18.469541409993155,0.10849059835013608,5.701619790903567,-0.10018090045772698,-0.10018090045772698,-0.10018090045772698,-0.10018090045772698,0.15459496745957635,0.35924598815432995,0.5229274005571916,5
all_month_ends,2008-01-31,2026-06-17,18.376454483230663,0.10965382353315922,5.76684600382513,-0.10018090045772676,-0.10018090045772676,-0.10018090045772676,-0.10018090045772676,0.16834038528603767,0.3522462792078367,0.5378647496274533,20
